CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot G16,https://www.dpreview.com/products/canon/compacts/canon_g16/specifications,$549.99,Compact,4000 x 3000,"4000 x 2248, 4000 x 2664, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 5:4, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/1.7"" (7.44 x 5.58 mm)",BSI-CMOS,Digic 6,"Auto, 80 - 12800",7,Yes (2),Optical,RAW,"Superfine, Fine",28–140 mm,5×,F1.8–2.8,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,Yes (4x),Yes,1 cm (0.39″),9,Fixed,3″,922000,No,TFT PureColor II G LCD,Yes,Optical (tunnel),80%,15 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync, Second Curtain",12.2 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),(3 frames at 1/3 EV steps),"1920 x 1080 (60 or 30 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)","MPEG-4, H.264","Miniature Effect (720p, 480p): 6fps, 3fps, 1.5 fps; Super Slow Motion Movie (480p, 240p): 120, 240 fps; Star Time-Lapse Movie (1080p): 15 fps",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,Wireless LAN (IEEE802.11 b/g/n),Yes (Optional wired remote or via smartphone),No,Battery Pack,Lithium-Ion NB-10L rechargeable battery & charger,360,356 g (0.78 lb / 12.56 oz),109 x 76 x 40 mm (4.29 x 2.99 x 1.57″),Yes,Yes (Star time-lapse movie),Optional,via mobile (linked to compatible smartphone),,,
Canon PowerShot N Facebook ready,https://www.dpreview.com/products/canon/compacts/canon_nfr/specifications,Compact,4000 x 2248,"1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CMOS,Digic 5,"Auto 80, 100, 200, 400, 800, 1600, 3200, 6400",5,Optical,Unknown,28–224 mm,8×,F3–5.9,Contrast Detect (sensor),Yes (4x),1 cm (0.39″),Tilting,2.8″,461000,Yes,PureColor II G touch,Yes,None,15 sec,1/2000 sec,Yes,Yes (LED flash),2.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (24 fps), 1280 x 720 (30 fps), 640 x 480 (30, 120 fps), 320 x 240 ( 240 fps)",H.264,Stereo,Mono,microSD/microSDHC/microSDXC,USB 2.0 (480 Mbit/sec),Built-In,Battery Pack,Lithium-Ion NB-9L rechargeable battery & charger,200,195 g (0.43 lb / 6.88 oz),79 x 60 x 29 mm (3.11 x 2.36 x 1.14″),Optional,via Smartphone app,,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S120,https://www.dpreview.com/products/canon/compacts/canon_s120/specifications,$449.99,Compact,4000 x 3000,"4000 x 3000, 4000 x 2248, 4000 x 2664, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 5:4, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/1.7"" (7.44 x 5.58 mm)",BSI-CMOS,Digic 6,"Auto, 80 - 12800",7,Yes (2),Optical,RAW,"Superfine, Fine",24–120 mm,5×,F1.8–5.7,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,3 cm (1.18″),9,Fixed,3″,922000,Yes,TFT PureColor II G Touch screen LCD,Yes,None,15 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,No,"Auto, on, slow synchro, off",12.1 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"1920 x 1080 (60 or 30 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)","MPEG-4, H.264","Miniature Effect (720p, 480p) 6fps, 3fps, 1.5 fps; Super Slow Motion Movie (480p, 240p): 120, 240 fps; Star time-lapse movie (1080p): 15 fps",Stereo,Mono,SD/SDHC/SDXC,None,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,Wireless LAN (IEEE802.11 b/g/n),No,No,Battery Pack,Lithium-Ion NB-6LH rechargeable battery & charger,230,217 g (0.48 lb / 7.65 oz),100 x 59 x 29 mm (3.94 x 2.32 x 1.14″),Yes,Yes (Star time-lapse movie),Optional,via mobile (linked to compatible smartphone),,,,
Canon PowerShot SX510 HS,https://www.dpreview.com/products/canon/compacts/canon_sx510hs/specifications,$249.99,Compact,4608 x 3456,"1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CMOS,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600, 3200",5,Yes,Optical,No,"Superfine, Fine",24–720 mm,30×,F3.4–5.8,Contrast Detect (sensor)Multi-areaCenterTrackingSingleFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),0 cm (0″),Fixed,3″,461000,No,TFT Color LCD,Yes,None,15 sec,1/1600 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),5.00 m,No,"Auto, on, slow synchro, off",3.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (24 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)","MPEG-4, H.264","Miniature Effect (HD, L) 6fps, 5fps,  3fps, 1.5 fps",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini-HDMI),Built-In,Wi-Fi 802.11 b/g/n,No,No,Battery Pack,Lithium-Ion NB-6LH rechargeable battery & charger,250,349 g (0.77 lb / 12.31 oz),104 x 70 x 80 mm (4.09 x 2.76 x 3.15″),Yes,No,None,,,,,,
Canon PowerShot SX170 IS,https://www.dpreview.com/products/canon/compacts/canon_sx170is/specifications,$179.99,Compact,4608 x 3456,"1:1, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Superfine, Fine",28–448 mm,16×,F3.5–5.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleFace DetectionLive View,Yes (4x),Yes,1 cm (0.39″),Fixed,3″,230000,No,TFT Color LCD,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),3.00 m,No,"Auto, Flash On, Slow Synchro, Flash Off",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1280 x 720 (30, 25 fps), 640 x 480 (30 fps)","MPEG-4, H.264","Miniature Effect (HD, L) 6fps, 3fps, 1.5 fps",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,Eye-Fi Connected,No,No,Battery Pack,NB-6LH,300,251 g (0.55 lb / 8.85 oz),108 x 71 x 44 mm (4.25 x 2.8 x 1.73″),Yes,No,None,,,,,,,,
Canon EOS 70D,https://www.dpreview.com/products/canon/slrs/canon_eos70d/specifications,£1079.99 / $1199 / €1099 body only. £1199.99 / $1340 / €1249 with EF-S 18-55mm f/3.5-5.6 IS STM. £1399.99 $1549 / €1499 with EF-S 18-135mm f/3.5-5.6 IS STM,Mid-size SLR,5472 x 3648,"3468x2432, 2736x1824, 1920x1280, 720x480, 4864x3648, 3248x2432, 2432x1824, 1696x1280, 640x480,5472x3072, 3468x2048, 2736x1536, 1920x1080, 720x408, 3648x3648, 2432x2432, 1824x1824, 1280x1280, 480x480","1:1, 4:3, 3:2, 16:9",20 megapixels,21 megapixels,APS-C (22.5 x 15 mm),CMOS,Digic 5+,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (25600 with boost)",25600,6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,19,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,Clear View II TFT color LCD,Yes,Optical (pentaprism),98%,0.95× (0.59× 35mm equiv.),30 sec,1/8000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),12.00 m,Yes (Built-in flash works as wireless commander),"Auto, On, Off,  Red-eye",7.0 fps,"Yes (2 or 10 sec, remote)",MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (29.97, 25, 23.976 fps), 1280 x 720 (59.94, 50 fps), 640 x 480 (59.94, 50 fps)",H.264,Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Yes,No,Built-In,"Yes (RS-60E3 cable release, RC-6 wireless remote, or using smartphone over Wi-Fi)",Yes (Water and Dust resistant),Battery Pack,Lithium-Ion LP-E6 rechargeable battery & charger,920,755 g (1.66 lb / 26.63 oz),139 x 104 x 79 mm (5.47 x 4.11 x 3.09″),Yes,Yes (by USB cable and PC),Optional,,,,
Canon EOS Rebel SL1 (EOS 100D),https://www.dpreview.com/products/canon/slrs/canon_eos100d/specifications,$799.99/£799 with 18-55mm STM,Compact SLR,5184 x 3456,"5184 x 2912, 4608 x 3456,3456 x 3456, 3456 x 2304, 3456 x 1944, 3072 x 2304, 2592 x 1728, 2592 x 1456, 2304 x 1728, 2304 x 2304, 1920 x 1280, 1920 x 1080, 1728 x 1728, 1696 x 1280, 1280 x 1280, 720 x 480, 720 x 400, 640 x 480, 480 x 480","1:1, 4:3, 3:2, 16:9",18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 5,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (25600 with boost)",25600,6,Yes (1),No,RAW,Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,Canon EF/EF-S,Fixed,3″,1040000,Yes,Yes,Optical (pentamirror),95%,0.87×,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),9.40 m,Yes (via Hot-shoe),"Auto, On, Off,  Red-eye",4.0 fps,"Yes (2s, 10s+remote, 10s + continuous shots 2-10))",MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30, 25, 24 fps), 1280 x 720 (60, 50 fps), 640 x 480 (30, 25 fps)","MPEG-4, H.264",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Yes,No,Eye-Fi Connected,Yes (RC-6),Battery Pack,Lithium-Ion LP-E12 rechargeable battery & charger,380,407 g (0.90 lb / 14.36 oz),117 x 91 x 69 mm (4.61 x 3.58 x 2.72″),Yes,Optional,via GPE2,,,,,,,,,
Canon EOS 700D (EOS Rebel T5i / EOS Kiss X7i),https://www.dpreview.com/products/canon/slrs/canon_eos700d/specifications,$899.99/£849 with 18-55mm STM,Compact SLR,5184 x 3456,"5184 x 2912, 4608 x 3456,3456 x 3456, 3456 x 2304, 3456 x 1944, 3072 x 2304, 2592 x 1728, 2592 x 1456, 2304 x 1728, 2304 x 2304, 1920 x 1280, 1920 x 1080, 1728 x 1728, 1696 x 1280, 1280 x 1280, 720 x 480, 720 x 400, 640 x 480, 480 x 480","1:1, 4:3, 3:2, 16:9",18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 5,25600,6,Yes (1),No,RAW,Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,Clear View II TFT LCD,Yes,Optical (pentamirror),95%,0.85× (0.53× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),13.00 m,"Yes (Hot-shoe, Wireless plus Sync connector)","Auto, On, Off,  Red-eye",5.0 fps,MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30, 25, 24 fps), 1280 x 720 (60, 50 fps), 640 x 480 (30, 25 fps)","H.264, Motion JPEG",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Yes,No,Eye-Fi Connected,Yes (RC-6 connector),Battery Pack,Lithium-Ion LP-E8 rechargeable battery & charger,440,580 g (1.28 lb / 20.46 oz),133 x 100 x 79 mm (5.24 x 3.94 x 3.11″),Yes,Yes (by USB cable and PC),Optional,via GPE2,,,,,,
Canon PowerShot SX280 HS,https://www.dpreview.com/products/canon/compacts/canon_sx280hs/specifications,Compact,4000 x 3000,"4000 x 3000, 4000 x 2248, 4000 x 2664, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 4:3, 3:2, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 6,"Auto 100, 200, 400, 800, 1600, 3200, 6400",6,Yes (1),Optical,No,"Superfine, Fine",25–500 mm,20×,F3.5–6.8,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace Detection,Yes (4x),Yes,5 cm (1.97″),Fixed,3″,461000,No,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,3.50 m,Yes (optional HF-DC2),"Auto, On, Off, Red-Eye, Slow Sync",3.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (60, 30 fps), 1280 x 720 (30 fps) 640 x 480 (30, 120 fps), 320  x 240 (240 fps)","MPEG-4, H.264",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,No,No,Battery Pack,Lithium-Ion NB-6L rechargeable battery & charger,210,233 g (0.51 lb / 8.22 oz),106 x 63 x 33 mm (4.17 x 2.48 x 1.3″),No,Built-in,"A-GPS (Assisted GPS) supported. GPS tagging, GPS Logger, automatic time update",,,,,,,,,,,,
Canon PowerShot SX270 HS,https://www.dpreview.com/products/canon/compacts/canon_sx270hs/specifications,Compact,4000 x 3000,"4000 x 3000, 4000 x 2248, 4000 x 2664, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 4:3, 3:2, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 6,"Auto 100, 200, 400, 800, 1600, 3200, 6400",6,Yes (1),Optical,No,"Superfine, Fine",25–500 mm,20×,F3.5–6.8,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace Detection,Yes (4x),Yes,5 cm (1.97″),Fixed,3″,461000,No,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,3.50 m,Yes (optional HF-DC2),"Auto, On, Off, Red-Eye, Slow Sync",3.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (60, 30 fps), 1280 x 720 (30 fps) 640 x 480 (30, 120 fps), 320  x 240 (240 fps)","MPEG-4, H.264",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),No,No,Battery Pack,Lithium-Ion NB-6L rechargeable battery & charger,210,233 g (0.51 lb / 8.22 oz),106 x 63 x 33 mm (4.17 x 2.48 x 1.3″),No,None,,,,,,,,,,,,,,
Canon PowerShot A2500,https://www.dpreview.com/products/canon/compacts/canon_a2500/specifications,Compact,4608 x 3456,"4608 x 2592, 3264 x 2448, 1600 x 1200, 640 x 480","4:3, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto 100, 200, 400, 800, 1600",6,Yes (1),No,No,28–140 mm,5×,F2.8–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace Detection,Yes (4x),No,3 cm (1.18″),9,Fixed,3″,230000,No,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,1280 x 720 (25 fps) 640 x 480 (30 fps),H.264,"Miniature Effect (HD (5, 2.5, 1.25 fps) or L (6, 3, 1.5 fps))",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,Battery Pack,Lithium-Ion NB-11L rechargeable battery & charger,220,135 g (0.30 lb / 4.76 oz),98 x 56 x 20 mm (3.86 x 2.2 x 0.79″),Yes,No,None,,,,,,,,,,,,
Canon ELPH 115 IS (IXUS 132 HS),https://www.dpreview.com/products/canon/compacts/canon_elph115is/specifications,Ultracompact,4608 x 3456,"4608 x 2592, 4608 x 3072, 3456 x 3456, 3264 x 2448, 3264 x 1832, 3264 x 2176, 2448 x 2448, 1920 x 1064, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 360, 640 x 424, 480 x 480","1:1, 4:3, 3:2, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 5,"Auto 100, 200, 400, 800, 1600, 3200",6,Yes (1),Optical,No,24–120 mm,5×,F2.7–5.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (5x),No,3 cm (1.18″),9,Fixed,3″,461000,No,PureColor II G TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, On, Off, Red-Eye, Slow Sync",2.0 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (24 fps), 1280 x 720 (30 fps) 640 x 480 (30, 120 fps), 320  x 240 (240 fps)",H.264,"Miniature Effect (HD, L) 6fps, 3fps, 1.5 fps iFrame Movie (HD)",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),No,No,Battery Pack,Lithium-Ion NB-11L rechargeable battery & charger,170,135 g (0.30 lb / 4.76 oz),93 x 57 x 20 mm (3.66 x 2.24 x 0.79″),Yes,No,None,,,,,,,,,,
Canon PowerShot ELPH 330 HS (IXUS 255 HS),https://www.dpreview.com/products/canon/compacts/canon_elph330hs/specifications,$179 / £229,Compact,4000 x 3000,"4000 x 3000, 4000 x 2664, 4000 x 2248, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 5,"Auto, 80, 100, 200, 400, 800, 1600, 3200, 6400",5,Yes (1),Optical,No,"Super Fine, Fine",24–240 mm,10×,F3–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4x),No,1 cm (0.39″),9,Fixed,3″,461000,No,PureColor II G,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, on, slow sync, off",2.4 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (24 fps), 1280 x 720 (30 fps) 640 x 480 (30, 120 fps), 320  x 240 (240 fps)",H.264,"Miniature effect: 1280 x 720 (1.5, 3, 6 fps), 640 x 480 (1.5, 3 , 6 fps); Super slow motion movie: 640 x 480 (120 fps), 320 x 240 (240 fps)",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,Photo sharing via CameraWindow app,No,No,Battery Pack,Lithium-Ion NB-4L rechargeable battery & charger,220,144 g (0.32 lb / 5.08 oz),97 x 56 x 23 mm (3.82 x 2.2 x 0.91″),Yes,No,None,,,,,
Canon PowerShot A3500 IS,https://www.dpreview.com/products/canon/compacts/canon_a3500is/specifications,Compact,4608 x 3456,"4608 x 2592, 3264 x 2448, 1600 x 1200, 640 x 480","4:3, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,DIGIC 4,"Auto 100, 200, 400, 800, 1600",6,Yes (1),Optical,3-stop,No,28–140 mm,5×,F2.8–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousTouchFace Detection,Yes (4x),No,3 cm (1.18″),9,Fixed,3″,230000,Yes,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,1280 x 720 (25 fps) 640 x 480 (30 fps),H.264,"Miniature Effect (HD (5, 2.5, 1.25 fps) or L (6, 3, 1.5 fps))",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,Built-In,No,No,Battery Pack,Lithium-Ion NB-11L rechargeable battery & charger,200,135 g (0.30 lb / 4.76 oz),98 x 56 x 20 mm (3.86 x 2.2 x 0.79″),Yes,No,Optional,via Smartphone app,,,,,,,,
Canon PowerShot N,https://www.dpreview.com/products/canon/compacts/canon_n/specifications,Compact,4000 x 2248,"1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CMOS,Digic 5,"Auto 80, 100, 200, 400, 800, 1600, 3200, 6400",5,Optical,Unknown,28–224 mm,8×,F3–5.9,Contrast Detect (sensor),Yes (4x),1 cm (0.39″),Tilting,2.8″,461000,Yes,PureColor II G touch,Yes,None,15 sec,1/2000 sec,Yes,Yes (LED flash),2.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (24 fps), 1280 x 720 (30 fps), 640 x 480 (30, 120 fps), 320 x 240 ( 240 fps)",H.264,Stereo,Mono,microSD/microSDHC/microSDXC,USB 2.0 (480 Mbit/sec),Built-In,Battery Pack,Lithium-Ion NB-9L rechargeable battery & charger,200,195 g (0.43 lb / 6.88 oz),79 x 60 x 29 mm (3.11 x 2.36 x 1.14″),Optional,via Smartphone app,,,,,,,,,,,,,,,,,,,,,,,,
Canon ELPH 130 (IXUS 140),https://www.dpreview.com/products/canon/compacts/canon_elph130/specifications,Ultracompact,4608 x 3456,"4608 x 2592, 4608 x 3072, 3456 x 3456, 3264 x 2448, 3264 x 1832, 3264 x 2176, 2448 x 2448, 1920 x 1064, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 360, 640 x 424, 480 x 480","1:1, 4:3, 3:2, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 4,"Auto 100, 200, 400, 800, 1600",6,Yes (1),Optical,No,28–224 mm,8×,F3.2–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4x),No,1 cm (0.39″),9,Fixed,3″,460000,No,PureColor II G TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,1280 x 720 (25 fps) 640 x 480 (30 fps),H.264,Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,No,No,Battery Pack,Lithium-Ion NB-11L rechargeable battery & charger,190,133 g (0.29 lb / 4.69 oz),95 x 56 x 21 mm (3.74 x 2.2 x 0.83″),Yes,No,Optional,via Smartphone app,,,,,,,,,
Canon PowerShot A1400,https://www.dpreview.com/products/canon/compacts/canon_a1400/specifications,Compact,4608 x 3456,"4608 x 2592, 3264 x 2448, 1600 x 1200, 640 x 480","4:3, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto 100, 200, 400, 800, 1600",6,Yes (1),No,No,28–140 mm,5×,F2.8–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace Detection,Yes (5x),No,3 cm (1.18″),9,Fixed,2.7″,230000,No,Yes,Optical (tunnel),15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,1280 x 720 (25 fps) 640 x 480 (30 fps),H.264,"Miniature Effect (HD (5, 2.5, 1.25 fps) or L (6, 3, 1.5 fps))",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,AA,2 x AA batteries,150,174 g (0.38 lb / 6.14 oz),95 x 62 x 30 mm (3.74 x 2.44 x 1.18″),Yes,No,None,,,,,,,,,,,,
